Position,Artist,Song Title,Year,Lyrics
1,The Beatles,Hey Jude,1968,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart

Then you can start to make it better

Hey Jude, don't be afraid

You were made to go out and get her

The minute you let her under your skin

Then you begin to make it better

And any time you feel the pain

Hey Jude, refrain

Don't carry the world upon your shoulder

For well you know that it's a fool

Who plays it cool
By making his world a little colder
Na na na naa-naa

na-na-naa naaa
Hey Jude, don't let me down
You have found her, now go and get her
(Let it out and let it in)
Remember (hey Jude) to let her into your heart
Then you can start to make it better
So let it out and let it in
Hey Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you
Hey Jude, you'll do
The movement you need is on your shoulder
Na na na naa-naa
na-na-naa naaa
Yeah
Hey, Jude, don't make it bad
Take a sad song
And make it better
Remember to let her under your skin (got the wrong chord!)
Then you begin (fucking hell)
To make it better
Better, better, better, better, (I'm begging you) better
Whoa!
Yeah
Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah, yeah)
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Jude, Judy, Judy, Judy, Judy, Judy
Ow! wow!
Na na na na-na-na-naa
Ow, ooh, my, my, my
Na-na-na-naa, hey, Jude
Jude, Jude, Jude, Jude, Jude
Na na na na-na-na-naa
Yeah, yeah, yeah
Na-na-na-naa, hey, Jude
Yeah, you know you can make it, Jude
Jude, you're not gonna break it
Na na na (don't make it bad, Jude) na-na-na-naa
Take a sad song and make it better
Na-na-na-naa, (oh, Jude) hey, (Jude) Jude
Hey, Jude, wo-o-ow!
Na na na na-na-na-naa (ooh, Jude)
Na-na-na-naa, (yeah) hey, Jude
(Hey, hey, hey-ey-ey)
Na na na na-na-na-naa (hey, hey)
Na-na-na-naa, (hey, hey) hey, Jude
Now, Jude, Jude, Jude, Jude, Jude, Jude
Yeah, yeah, yeah, yeah, yeah
Na na na na-na-na-naa (whoa, yeah)
Na-na-na-naa, hey, Jude
Ah nanananananana cause I wanna na na na
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Nanananana… nanalalal ow ow
(Okay)
Na na na na-na-na-naa
Pain won't come back, Jude
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
(Yeah)
Na na na na-na-na-naa
(Make it through)
Na-na-na-naa, hey, Jude
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah)
Na-na-na-naa, hey, Jude
(Good evening, ladies and gentleman)
ma ma ma ma ma ma ma ma ma ma
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
(Ooh)
Na na na na-na-na-naa (whoo)
Na-na-na-naa, hey, Jude
(Whoo)
(Well, then, a-na)
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa"
2,The Rolling Stones,(I Can't Get No) Satisfaction,1965,"Hey look
I can't get no satisfaction
I can't get no satisfaction
I try and I try and I try and I try
I can't get no, I can't get no

When I'm drivin' in my car
And that man comes on the radio
And he's tellin' me more and more
About some useless information
Supposed to drive my imagination
I can't get no, no no
Hey hey hey, that's what I say

I can't get no satisfaction
I can't get no satisfaction
I try and I try and I try and I try
I can't get no, I can't get no

When I'm watchin' my TV
And a man comes on to tell me
How white my shirts can be
Well he can't be a man 'cause he doesn't smoke
The same cigarettes as me
I can't get no, no no no
Hey hey hey, that's what I say

I can't get no satisfaction
I can't get no girl reaction
I try and I try and I try and I try try try
I can't get no, I can't get no

When I'm ridin' round the world
And I'm doin' this and I'm signing that
And I'm tryin' to make some girl
Who tells me baby better come back later next week
You see I'm on losing streak
I can't get no, no no no
Hey hey hey, that's what I say

I
Do some
[Incomprehensible] satisfaction
I won't get satisfaction
We don't get satisfaction
You don't see satisfaction

[Incomprehensible]
Hey, I say

[Incomprehensible]
Yeah
Yeah"
3,Procol Harum,A Whiter Shade of Pale,1967,"Procol Harum
Miscellaneous
A Whiter Shade Of Pale
We skipped the light fandango
And turned cartwheels across the floor
I was feeling kind of seasick
The crowd called out for more
The room was humming harder
As the ceiling flew away
Whe we called out for another drink
The waiter brought a tray

And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale

She said there is no reason
And the truth is plain to see
But I wandered through my playing cards
Would not let her be
One of sixteen vestal virgins
Who were leaving for the coast
At the moment my eyes were open
They might just as well have been closed

And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale"
4,The Beatles,I Want to Hold Your Hand,1964,"Oh, yeah, I tell you something
I think you'll understand
When I say that something's
I wanna hold your hand
I wanna hold your hand
I wanna hold your hand

Oh, please say to me
You'll let me be your man
And, please, say to me
You'll let me hold your hand
You'll let me hold your hand
I wanna hold your hand

And when I touch you, I feel happy inside
It's such a feeling that my love
I can't hide

I can't hide
I can't hide
Yeah, you got that something
I think you'll understand
When I say that something's
I wanna hold your hand

I wanna hold your hand
I wanna hold your hand
And when I touch you, I feel happy inside

It's such a feeling that my love
I can't hide
I can't hide
I can't hide
Yeah, you got that something
I think you'll understand
When I feel that something
I wanna hold your hand
I wanna hold your hand
I wanna hold your hand
I wanna hold your hand"
5,Roy Orbison,"Oh, Pretty Woman",1964,"Pretty woman, walkin' down the street
Pretty woman, the kind I'd like to meet
Pretty woman
I don't believe you
You're not the truth
No one can look as good as you
Mercy

Pretty woman, oh won't you pardon me
Pretty woman, I couldn't help but see
Pretty woman
You look lovely as can be
Are you lonely just like me

Pretty woman stop a while
Pretty woman talk a while
Pretty woman give your smile to me

Pretty woman, yeah yeah yeah
Pretty woman walk my way
Pretty woman say you'll stay, with me

'Cuz I need you, I'll treat you right
Come to me baby, be mine tonight

Pretty woman, don't walk on by
Pretty woman, don't make me cry
Pretty woman
Don't walk away hey, okay
If that's the way it must be okay

I guess I'll go on home it's late
Maybe tomorrow night but wait
What do I see

Is she walking back to me?
Yeah, she's walking back to me
Oh, pretty woman"
6,Elvis Presley,Are You Lonesome Tonight?,1960,"Are you lonesome tonight? Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray to a brighter sunny day?
When I kissed you and called you sweetheart?

Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain? Shall I come back again?
Tell me dear, are you lonesome tonight

I wonder if you're lonesome tonight
You know someone said that the world's a stage
And each must play a part
Fate had me playing in love with you as my sweet heart

Act one was when we met, I loved you at first glance
You read your line so cleverly and never missed a cue
Then came act two, you seemed to change, you acted strange
And why? I've never known

Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than I go on living without you

Now the stage is bare and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down

Is your heart filled with pain? Shall I come back again?
Tell me dear, are you lonesome tonight"
7,Elvis Presley,It's Now Or Never,1960,"It's now or never, come hold me tight
Kiss me my darling, be mine tonight
Tomorrow will be too late
It's now or never, my love won't wait

When I first saw you with your smile so tender
My heart was captured, my soul surrendered
I'd spend a lifetime, waiting for the right time
Now that you're near, the time is here at last

It's now or never, come hold me tight
Kiss me my darling, be mine tonight
Tomorrow will be too late
It's now or never, my love won't wait

Just like a willow, we would cry an ocean
If we lost true love and sweet devotion
Your lips excite me, let your arms invite me
For who knows when we'll meet again this way

It's now or never, come hold me tight
Kiss me my darling, be mine tonight
Tomorrow will be too late
It's now or never, my love won't wait

It's now or never, my love won't wait
It's now or never, my love won't wait
It's now or never, my love won't wait"
8,The Monkees,I'm a Believer,1967,"I thought love was only true in fairytales
Meant for someone else but not for me
Love was out to get me
That's the way it seemed
Disappointment haunted all my dreams

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind
I'm in love, I'm a believer
I couldn't leave her if I tried

I thought love was more or less a givin' thing
Seems the more I gave the less I got
What's the use in trying?
All you get is pain
When I needed sunshine I got rain

Then I saw her face, now I'm a believer
Not a trace of doubt in my mind
I'm in love, I'm a believer
I couldn't leave her if I tried

Love was out to get me
Now that's the way it seemed
Disappointment haunted all my dreams

Oh then I saw her face, now I'm a believer
Not a trace of doubt in my mind
I'm in love, I'm a believer
I couldn't leave her if I tried

Yes I saw her face, now I'm a believer
Not a trace of doubt in my mind
Said I'm a believer, yeah, yeah, yeah, yeah, yeah
  (I'm a believer)
  (I'm a believer)
Said I'm a believer, yeah
(I'm a believer)
Said I'm a believer, yeah
(I'm a believer)"
9,The Beatles,Help!,1965,"Help, I need somebody
Help, not just anybody
Help, you know I need someone
Help!

When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone I'm not so self-assured
Now I find I've changed my mind and opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

And now my life has changed in oh so many ways
My independence seems to vanish in the haze
But every now and then I feel so insecure
I know that I just need you like I've never done before

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone I'm not so self-assured
Now I find I've changed my mind, I've opened up the doors

Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?
Help me, help me, ooo"
10,Chubby Checker,The Twist,1960,"Come on, baby, let's do the twist
Come on, baby, let's do the twist
Take me by my little hand and go like this

Yeah, twist, baby, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist

My daddy is sleepin' and mama ain't around
Yeah, daddy's just sleepin' and mama ain't around
We're gonna twisty, twisty, twisty
Till we tear the house down

Come on and twist, yeah, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist, yeah

Yeah, you should see my little sis
You should see my, my little sis
She really knows how to rock
She knows how to twist

Come on and twist, yeah, baby
Twist, ooh yeah, just like this
Come on, little miss, and do the twist

Yeah, rock on now
Yeah, twist on now, twist"
