Position,Artist,Song Title,Year,Lyrics
11,Joan Jett & The Blackhearts,I Love Rock 'n' Roll,1982,"I Love Rock N' Roll
By Joan Jett and The Blackhearts

I saw him dancin' there by the record machine
I knew he must a been about seventeen
The beat was goin' strong
Playin' my favorite song
An' I could tell it wouldn't be long
Till he was with me, yeah me
And I could tell it wouldn't be long
Till he was with me, yeah me, singin'

I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come and take your time and dance with me

Ow!

He smiled so I got up and asked for his name
That don't matter, he said
'Cause it's all the same

Said can I take you home where we can be alone

An' next we were movin' on
He was with me, yeah me

Next we were movin' on
He was with me, yeah me, singin'

I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with me

Ow!

Said can I take you home where we can be alone

Next we were movin' on
He was with me, yeah me
An we'll be movin' on
An' singin' that same old song
Yeah with me, singin'

I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with me

I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with
I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with
I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with
I love rock n' roll
So put another dime in the jukebox, baby
I love rock n' roll
So come an' take your time an' dance with me"
12,Culture Club,Karma Chameleon,1983,"Desert loving in your eyes all the way
If I listen to your lies would you say
I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go, you come and go

Karma karma karma karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dream
Red gold and green, red gold and green

Didn't hear your wicked words everyday
And you used to be so sweet, I heard you say
That my love was an addiction
When we cling our love is strong
When you go you're gone forever
You string along, you string along

Karma karma karma karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dream
Red gold and green, red gold and green

Every day is like survival
You're my lover, not my rival
Every day is like survival
You're my lover, not my rival

I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go, you come and go

Karma karma karma karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dream
Red gold and green, red gold and green

Karma karma karma karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dream
Red gold and green, red gold and green

Karma karma karma karma, karma chameleon
You come and go, you come and go
Loving would be easy if your colors were like my dream
Red gold and green, red gold and green
Karma karma karma karma, karma chameleon"
13,John Lennon,(Just Like) Starting Over,1980,"Our life together is so precious together
We have grown, we have grown
Although our love is still special
Let's take a chance and fly away somewhere alone

It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darling
It's like we both are falling in love again
It'll be just like starting over, starting over

Everyday we used to make it love
Why can't we be making love nice and easy
It's time to spread our wings and fly
Don't let another day go by my love
It'll be just like starting over, starting over

Why don't we take off alone?
Take a trip somewhere far, far away
We'll be together all alone again
Like we used to in the early days
Well, well, well darling

It's been too long since we took the time
No-one's to blame, I know time flies so quickly
But when I see you darling
It's like we both are falling in love again
It'll be just like starting over, starting over

Our life together is so precious together
We have grown, we have grown
Although our love is still special
Let's take a chance and fly away somewhere

Starting over"
14,Diana Ross,Upside Down,1980,"I said, upside down
You're turnin' me
You're givin' love instinctively
Round and round you're turnin' me

Upside down
Boy, you turn me
Inside out
And round and round

Upside down
Boy, you turn me
Inside out
And round and round

Instinctively, you give to me
The love that I need
I cherish the moment with you

Respectfully, I say to thee
I'm aware that you're cheatin'
When no one makes me feel like you do

Upside down
Boy, you turn me
Inside out
And round and round

Upside down
Boy, you turn me
Inside out
And round and round

I know you got charm and appeal
You always play the field
I'm crazy to think you are mine

As long as the sun continues to shine
There's a place in my heart for you
That's the bottom line

Upside down
Boy, you turn me
Inside out
And round and round

Upside down
Boy, you turn me
Inside out
And round and round

Instinctively, you give to me
The love that I need
I cherish the moment with you

Respectfully, I say to thee
I'm aware that you're cheatin'
But no one makes me feel like you do

Upside down
Boy, you turn me
Inside out
And round, round

Upside down
Boy, you turn me
Inside out
And round and round

Upside down
Boy, you turn me
Inside out
And round and round

Upside down
Boy, you turn me
Inside out
And round, round

Upside down, you're turnin' me
You're givin' love instinctively
Round and round, you're turnin' me
I say to thee respectfully

Upside down, you're turnin' me
You're givin' love instinctively
Around and round, you're turnin' me
I say to thee respectfully

I said, upside down, you're turnin' me
You're givin' love instinctively
Around and round, you're turnin' me
I say to thee respectfully

Upside down, you're turnin' me
You're givin' love instinctively
Round and round, you're turnin' me
I say to thee respectfully
Upside down, you're turnin' me"
15,Culture Club,Do You Really Want to Hurt Me?,1982,"{Popularity breeds content}

Give me time
To realize my crime
Let me love and steal
I have danced inside your eyes
How can I be real

Do you really want to hurt me
Do you really want to make me cry

Precious kisses, words that burn me
Lovers never ask you why
In my heart the fire's burnin'
Choose my color find a star
Precious people always tell me
That's a step, a step too far

Do you really want to hurt me
Do you really want to make me cry
Do you really want to hurt me
Do you really want to make me cry

Words are few I have spoken
I could waste a thousand years
Wrapped in sorrow words are token
Come inside and catch my tears

You've been talkin' but believe me
If its true you do not know
This boy loves without a reason
I'm prepared to let you go

If it's love you want from me
Then take it away
Everything is not what you see
It's over again

Do you really want to hurt me
Do you really want to make me cry
Do you really want to hurt me
Do you really want to make me cry

Cry, cry, cry
Cry, cry, cry
Cry, cry, cry

Do you really want to hurt me
Do you really want to make me cry
Do you really want to hurt me
Do you really want to make me cry

Do you really want to hurt me
Do you really want to make me cry"
16,Madonna,Like a Prayer,1989,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

I hear your voice
It's like an angel sighing
I have no choice, I hear your voice
Feels like flying

I close my eyes
Oh God I think I'm falling
Out of the sky, I close my eyes
Heaven help me

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

Like a child
You whisper softly to me
You're in control just like a child
Now I'm dancing

It's like a dream
No end and no beginning
You're here with me it's like a dream
Let the choir sing

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there

Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me

Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there
Your voice can take me there
Like a prayer

Just like a prayer
Just like a prayer, your voice can take me there
Just like a prayer
Just like a prayer, your voice can take me there"
17,Prince,When Doves Cry,1984,"Dig if you will, the picture
Of you and I engaged in a kiss
The sweat of your body covers me
Can you my darling, can you picture this?

Dream if you can a courtyard
An ocean of violets in bloom
Animals strike curious poses
They feel the heat, the heat between me and you

How can you just leave me standing
Alone in a world that's so cold?
Maybe I'm just too demanding
Maybe I'm just like my father, too bold

Maybe you're just like my mother
She's never satisfied
Why do we scream at each other?
This is what it sounds like when the doves cry

Touch if you will, my stomach
Feel how it trembles inside
You've got the butterflies all tied up
Don't make me chase you, even doves have pride

How can you just leave me standing
Alone in a world so cold?
Maybe I'm just too demanding
Maybe I'm just like my father, too bold

Maybe you're just like my mother
She's never satisfied
Why do we scream at each other?
This is what it sounds like when doves cry

How can you just leave me standing
Alone in a world that's so cold?
Maybe I'm just too demanding
Maybe I'm just like my father, too bold

Maybe you're just like my mother
She's never satisfied
Why do we scream at each other?
This is what it sounds like when doves cry

When doves cry, when doves cry, when doves cry
Don't cry

Oh yeah all right, oh yeah oh yeah
Oh yeah oh yeah, oh yeah oh yeah
Oh yeah oh yeah, oh yeah oh yeah

When doves cry, when doves cry
When doves cry

Ah, ah, ah, ooo
Ah, ah, ah, ah, ooo
When doves cry, don't cry
Darling don't cry
Don't cry, don't cry, don't, don't cry"
18,A-Ha,Take On Me,1985,"Aha
Miscellaneous
Take On Me
Take On Me
Aha
(Hunting High And Low)

We're talking away
I don't know what
I'm to say I'll say it anyway
Today's another day to find you
Shying away
I'll be coming for your love, OK?

Take on me, take me on
I'll be gone
In a day or two

So needless to say
I'm odds and ends
But that's me stumbling away
Slowly learning that life is OK.
Say after me
It's no better to be safe than sorry

Take on me, take me on
I'll be gone
In a day or two

Oh the things that you say
Is it life or
Just a play my worries away
You're all the things I've got to 
remember
You're shying away
I'll be coming for you anyway

Take on me, take me on
I'll be gone
In a day or two

From LBV10000 ([email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */)"
19,Blondie,Call Me,1980,"Call on me, oh call up, baby
Call on me, oh call
Call on me, oh call up, darling
I know who you are
Come up off your calling chart
I know where you're coming from

Call me!
(Call me!)
On the line
Call me, call me any anytime
Call me!
(Call me!)
I'll arrive
You can call me any day or night
Call me

Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, I don't know why

Cover of love's alibi
Call me!
(Call me!)
On the line
Call me, call me any anytime
Call me!
(Call me!)
I'll arrive
When you're ready we can share the wine

Call me
Ooh, he speaks the languages of love
Ooh, amor, llámame, llámame!

Ooh, appelle moi, mon cheri, appelle moi!
Anytime, anyplace, anywhere, anyway
Anytime, anyplace, anywhere, any day
Call me!
(Call me!)
My love
Call me, call me any anytime

Call me
(Call me!)
For a ride
Call me
Call me for some overtime
Call me!
(Call me!)
My love

Call me
Call me in a sweet design
Call me!
(Call me!)
Call me for your lover's lover's alibi
Call me!
(Call me!)
For a ride
Call me, call me any anytime
Call me
(Call me!)
Uh, call me
Uh, uh, uh, call me!
(Call me!)
My love
Call me, call me any anytime"
20,Phil Collins,Another Day in Paradise,1989,"She calls out to the man on the street
""Sir, can you help me?
It's cold and I've nowhere to sleep
Is there somewhere you can tell me?""

He walks on, doesn't look back
He pretends he can't hear her
He starts to whistle as he crosses the street
She's embarrassed to be there

Oh, think twice, it's just another day for
For you and me in paradise
Oh, think twice, it's just another day
For you, you and me in paradise
Just think about it

She calls out to the man on the street
He can see she's been cryin'
She's got blisters on the soles of her feet
She can't walk but she's tryin'

Oh, just think twice, it's just another day
For you and me in paradise
Oh, yes think twice, it's just another day
For you, you and me in paradise
Just think about it, just think about it

Oh Lord, is there nothing more anybody can do?
Oh Lord, there must be something you can say

You can tell by the lines on her face
You can see that she's been there
Probably been moved on from every place
'Cause she didn't fit in there

Oh, yes think twice, it's just another day
For you and me in paradise
Oh, yes think twice, it's just another day
For you, you and me in paradise
Just think about it, just think about it

It's just another day
For you and me in paradise
It's just another day
For you and me in paradise

It's just another day
For you and me in paradise
It's just another day
For you and me in paradise

It's just another day
For you and me
It's another day
For you and me

It's another day
For you and me in paradise
In paradise"
21,Paul McCartney,Ebony & Ivory,1982,"Ebony and ivory live together in perfect harmony
Side by side on my piano keyboard, oh Lord, why don't we?

We all know that people are the same where ever we go
There is good and bad in everyone
We learn to live, we learn to give
Each other what we need to survive together alive

Ebony and ivory live together in perfect harmony
Side by side on my piano keyboard, oh Lord, why don't we?
Ebony, ivory living in perfect harmony
Ebony, ivory, ooh

We all know that people are the same where ever we go
There is good and bad in everyone
We learn to live, we learn to give
Each other what we need to survive together alive

Ebony and ivory live together in perfect harmony
Side by side on my piano keyboard, oh Lord why don't we?"
22,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,"Clock strikes upon the hour
And the sun begins to fade,
Still enough time to figure out
How to chase my blues away,
I've done alright up to now
It's the light of day that shows me how
And when the night falls, my loneliness calls

Chorus:
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me

I've been in love and lost my senses
Spinning through the town,
Sooner or later, the fever ends
And I wind up feeling down
I need a man who'll take that chance,
On a love that burns hot enough to last
So when the night falls,
My lonely heart calls

Chorus:
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me

Somebody who, somebody who,
Somebody who loves me yeah
Somebody who, somebody who
To hold me in his arms, oh
I need a man who'll take that chance,
On a love that burns hot enough to last
So when the night falls,
My lonely heart calls

Chorus:
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me
Oh, I wanna dance with somebody,
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody,
With somebody who loves me

Don'tcha wanna dance with me baby?
Dontcha wanna dance with me boy?
Hey, don'tcha wanna dance with me, baby?
With somebody who loves me

Don'tcha wanna dance, say you wanna dance
Don'tcha wanna dance,
Don'tcha wanna dance, say you wanna dance,
Don'tcha wanna dance,
Don'tcha wanna dance, say you wanna dance,
With somebody who loves me,
Dance."
23,Michael Jackson,Beat It,1983,"They told him don't you ever come around here
Don't wanna see your face, you better disappear
The fire's in their eyes and their words are really clear
So beat it, just beat it

You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can

So beat it, but you wanna be bad

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Just beat it, beat it

Just beat it, beat it
Just beat it, beat it

They're out to get you, better leave while you can

Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it

You have to show them that you're really not scared

You're playin' with your life, this ain't no truth or dare
They'll kick you, then they beat you
Then they'll tell you it's fair
So beat it, but you wanna be bad

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight

It doesn't matter who's wrong or right

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it, beat it

Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or who's right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Beat it, beat it, beat it

corrected by: Md. Anik"
24,The Human League,Don't You Want Me,1982,"You were working as a waitress in a cocktail bar
When I met you
I picked you out, I shook you up
And turned you around
Turned you into someone new
Now five years later on you've got the world at your feet
Success has been so easy for you
But don't forget it's me who put you where you are now
And I can put you back down too.

Don't. Don't you want me?
You know I can't believe it when I hear that you won't see me
Don't. Don't you want me?
You know I don't believe you when you say that you don't need me

It's much too late to find
When you think you've changed your mind
You'd better change it back or we will both be sorry

Don't you want me, baby?
Don't you want me? Oh!
Don't you want me, baby?
Don't you want me? Oh!

I was working as a waitress in a cocktail bar
That much is true
But even then I knew I'd find a much better place
Either with or without you
The five years we have had have been such good at times
I still love you
But now I think it's time I lived my life on my own
I guess it's just what I must do

Don't. Don't you want me?
You know I can't believe it when I hear that you won't see me
Don't. Don't you want me?
You know I don't believe you when you say that you don't need me

It's much too late find
When you think you've changed your mind
You'd better change it back or we will both be sorry

Don't you want me, baby?
Don't you want me? Oh!
Don't you want me, baby?
Don't you want me? Oh!

Don't you want me, baby?
Don't you want me? Oh!
Don't you want me, baby?
Don't you want me? Oh!

Don't you want me, baby?
Don't you want me? Oh!
Don't you want me, baby?
Don't you want me? Oh

Don't you want me, baby?
Don't you want me? Oh!
Don't you want me, baby?
Don't you want me? Oh!"
