Position,Artist,Song Title,Year,Lyrics
1,Eminem,Lose Yourself,2002,"Look, if you had, one shot, or one opportunity
To seize everything you ever wanted, one moment
Would you capture it?
Or just let it slip, yo

His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface he looks calm and ready
To drop bombs, but he keeps on forgetting
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin' how, everybody's chokin' now
The clock's run out, times up, over, blaw!

Snap, back to reality, oh, there goes gravity
Oh, there goes Rabbit he choked, he's so mad but he won't
Give up that easy, no, he won't have it he knows
His whole back's to these ropes, it don't matter he's dope
He knows that but he's broke, he so stagnant he knows
When he goes back to his mobile home, that's when it's
Back to the lab again, yo
This whole rhapsody better go capture this moment
And hope it don't pass him

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo

His soul's escaping, through this hole that is gaping
This world is mine for the taking, make me king
As we move toward a new world order, a normal life is boring
But superstardom's close to post mortem
It only grows harder, only grows hotter
He blows it's all over, these h**s is all on him
Coast to coast shows, he's known as the Globetrotter lonely roads

God only knows he's grown farther from home, he's no father
He goes home and barely knows his own daughter
But hold your nose cuz here goes the cold water
These h**s don't want him no mo', he's cold product
They moved on to the next schmoe who flows
He nose dove and sold nada, so the soap opera is told it unfolds
I suppose it's old partna, but the beat goes on
Da da dum, da dum da da da da

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo

No more games, I'ma change what you call rage
Tear this mothaf****n' roof off like two dogs caged
I was playin' in the beginning, the mood all changed
I been chewed up and spit out and booed off stage
But I kept rhymin' and stepped, writin' the next cipher
Best believe somebody's payin' the pied piper
All the pain inside amplified by the fact
That I can't get by with my 9 to 5

And I can't provide the right type of life for my family
Cuz man, these *** damn food stamps don't buy diapers
And it's no movie, there's no Mekhi Phifer, this is my life
And these times are so hard and it's getting even harder
Tryin' to feed and water my seed, plus teeter-totter
Caught up between bein' a father and a prima donna
Baby mama drama's screamin' on and too much for me to wanna

Stay in one spot, another day of monotony's
Gotten me to the point I'm like a snail
I've got to formulate a plot or end up in jail or shot
Success is my only mothaf****n' option, failure's not
Mom, I love you, but this trailer's got to go
I cannot grow old in Salem's lot, so here I go it's my shot
Feet fail me not, this may be the only opportunity that I got

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo

You better lose yourself in the music
The moment, you own it, you better never let it go
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better

You can do anything you set your mind to, man"
2,Usher,Yeah!,2004,"Peace up, a Town Down
Yeah, okay, Usher, a Lil' Jon
Yeah yeah yeah, yeah yeah, yeah
Yeah yeah yeah, yeah yeah, yeah, let's go

In the club with my homies tryin' to get a little V-I
Keep it down on the low key 'cause you know how it feels
I saw Shorty, she was checkin' up on me
From the game she was spittin' in my ear
Thank that she knew me, so we decided to chill

Conversation got heavy
She had me feelin' like she's ready to blow
Watch out, oh, watch out, she's sayin', ""Come get me""
So I got up and followed her to the floor
She said, ""Baby lets go"", when I told her, I said

Yeah yeah, Shorty got down, sayin', ""Come and get me""
Yeah yeah, I got so caught up, I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew, she was all up on me screamin'

Yeah yeah yeah, yeah yeah, yeah
Yeah yeah yeah, yeah yeah, yeah

So she's all up in my head now, got me thinkin'
That it might be a good idea to take her with me
'Cause she's ready to leave but I gotta keep it real now
'Cause on a one-to-ten she's a certified twenty but that just ain't me, hey

'Cause I don't know if I take that chance, just where it's gonna lead
But what I do know is the way she dance
Makes Shorty alright with me, the way she gettin' low
I'm like yeah, just work that out for me
She asked for one more dance and I'm like, yeah
""How the hell am I supposed to leave"" and I said

Yeah yeah, Shorty got down, sayin', ""Come and get me""
Yeah yeah, I got so caught up, I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew, she was all up on me screamin'

Yeah yeah yeah, yeah yeah, yeah
Yeah yeah yeah, yeah yeah, yeah

Ludaa, watch out, my outfit's ridiculous
In the club lookin' so conspicuous
And wow! These women all on the prowl
If ya hold the head steady, I'm a milk the cow

And forget about the game, I'm spit the truth
I won't stop till I get 'em in their birthday suits
So gimme the rhythm and it'll be off with their clothes
So bend over to the front and touch your toes

I left the Jag and I took the Rolls
If they ain't cuttin' then I put 'em on foot patrol, ooh, aow
How ya like me now
When my pinky's valued over three hundred thousand

Let's drank you to one to please
Ludacris, fill cups like double D's
Me and Ush once more and we leaves 'em dead
We want a lady in the street but a freak in the bed to say

Yeah yeah, Shorty got down, sayin', ""Come and get me""
Yeah yeah, I got so caught up, I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew, she was all up on me screamin'

Yeah yeah yeah, yeah yeah, yeah
Yeah yeah yeah, yeah yeah, yeah

Take that and rewind it back
Lil' Jon got the beat that make your booty go
Take that, rewind it back, Usher got the voice to make your booty go
Take that, rewind it back, Ludacris got the flow to make your booty go
Take that, rewind it back, Lil' Jon got the beat that make your booty go"
3,Leona Lewis,Bleeding Love,2008,"Closed off from love
I didn't need the pain
Once or twice was enough
And it was all in vain
Time starts to pass
Before you know it you're frozen

But something happened
For the very first time with you
My heart melted to the ground
Found something true
And everyone's looking around
Thinking I'm going crazy

But I don't care what they say
I'm in love with you
They try to pull me away
But they don't know the truth
My heart's crippled by the vein
That I keep on closing

You cut me open and I
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

Trying hard not to hear
But they talk so loud
Their piercing sounds fill my ears
Try to fill me with doubt
Yet I know that the goalIs to keep me from falling

But nothing's greater than the rush
That comes with your embrace
And in this world of loneliness
I see your face
Yet everyone around me
Thinks that I'm going crazy
Maybe, maybe

But I don't care what they say
I'm in love with you
They try to pull me away
But they don't know the truth
My heart's crippled by the vain
That I keep on closing

You cut me open and I
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

And it's draining all of me
Oh, they find it hard to believe
I'll be wearing these scars
For everyone to see

I don't care what they say
I'm in love with you
They try to pull me away
But they don't know the truth
My heart's crippled by the vain
That I keep on closing

You cut me open and I
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open and I
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open and I
Keep bleeding
Keep, keep bleeding love"
4,Rihanna & Jay-Z,Umbrella,2007,"Exception occurred 
HTTP Error 404: Not Found"
5,Eminem,Without Me,2002,"Obie Trice, real name no gimmicks

Two trailer park girls go round the outside
Round the outside, round the outside
Two trailer park girls go round the outside
Round the outside, round the outside

Guess who's back
Back again
Shady's back
Tell a friend
Guess who's back, guess who's back
Guess who's back, guess who's back
Guess who's back, guess who's back
Guess who's back

I've created a monster
'Cause nobody wants to see Marshall no more
They want Shady, I'm chopped liver
Well if you want Shady, this is what I'll give you
A little bit of weed mixed with some hard liquor
Some vodka that'll jump start my heart quicker
Than a shock when I get shocked at the hospital
By the doctor when I'm not co-operating

When I'm rockin' the table while he's operating
You waited this long, now stop debating
'Cause I'm back, I'm on the rag and ovulating
I know that you got a job Ms.Cheney
But your husband's heart problem's complicating

So the FCC won't let me be
Or let me be me, so let me see
They try to shut me down on MTV
But it feels so empty, without me
So, come on and dip, bum on your lips
Fuck that, cum on your lips, and some on your tits
And get ready, 'cause this shit's about to get heavy
I just settled all my lawsuits, fuck you Debbie

Now this looks like a job for me
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me
I said, ""This looks like a job for me""
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me

Little Hellions, kids feelin' rebellious
Embarrassed their parents still listen to Elvis
They start feelin' like prisoners helpless
'Til someone comes along on a mission and yells, bitch
A visionary, vision of scary
Could start a revolution, pollutin' the airwaves
A rebel, so just let me revel and bask
In the fact that I got everyone kissin' my ass

And it's a disaster, such a catastrophe
For you to see so damn much of my ass
You asked for me? Well I'm back
Fix your bent antenna tune it in and then I'm gonna
Enter in, endin' up under your skin like a splinter
The center of attention, back for the winter
I'm interesting, the best thing since wrestling
Infesting in your kid's ears and nesting

Testing, attention please
Feel the tension, soon as someone mentions me
Here's my ten cents, my two cents is free
A nuisance, who sent? You sent for me?

Now this looks like a job for me
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me
I said, ""This looks like a job for me""
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me

A-tisket a-tasket, I go tit for tat with
Anybody who's talkin' this shit, that shit
Chris Kirk Patrick, you can get your ass kicked
Worse than them little Limp Bizkit bastards
And Moby? You can get stomped by Obie
You 36 year old baldheaded fag, blow me
You don't know me, you're too old, let go
It's over, nobody listen to techno

Now let's go, just gimme the signal
I'll be there with a whole list full of new insults
I been dope, suspenseful with a pencil
Ever since Prince turned himself into a symbol
But sometimes the shit just seems
Everybody only wants to discuss me
So this must mean I'm disgusting
But it's just me, I'm just obscene

No I'm not the first king of controversy
I am the worst thing since Elvis Presley
To do black music so selfishly
And used it to get myself wealthy
There's a concept that works
Twenty million other white rappers emerge
But no matter how many fish in the sea
It'll be so empty, without me

Now this looks like a job for me
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me
I said, ""This looks like a job for me""
So everybody, just follow me
'Cause we need a little, controversy
'Cause it feels so empty, without me

Hum-die-die-la-la-la
Hum-die-die-la-la-la
La-la-la
La-la-la

Kids!"
6,OutKast,Hey Ya!,2003,"One two three go

My baby don't mess around me
'Cause she loves me so
And this I know for sure
Uh, but does she really wanna
But can't stand to see me walk out the door?

Don't try to fight the feelin'
'Cause the thought alone is killing me right now
Uh, thank God for Mom and Dad for sticking two together
'Cause we don't know how

Hey ya, hey ya, hey ya, hey ya
Hey ya, hey ya, hey ya, hey ya

You think you've got it, oh, you think you've got it
But got it just don't get it, til' there's nothing at all
We get together, oh, we get together
But separate's always better, when there's feelings involved

If what they say is ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes, love exception
So why you, why you, why you, why you, why you
Are we so in denial? When you know we're not happy here
Y'all don't wanna hear me you just wanna dance
  (Hey ya, hey ya)

Don't want to meet your daddy
  (Hey ya, hey ya)
Just want you in my caddy
  (Hey ya, hey ya)

Don't want to meet your momma
  (Hey ya, hey ya)
Just want to make you cumma
  (Hey ya, hey ya)
I'm, I'm, I'm just being honest
  (Hey ya, hey ya)
I'm just being honest

""Hey, alright now, alright now fellows""?
""Yeah""
""Now what's cooler than bein' cool?""
""Ice cold""
""I can't hear ya, I say what's cooler than bein' cool?""
""Ice cold""

Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, alright

""Okay now, ladies"", ""Yeah""
""Now we gonna break this thang down in just a few seconds
Now don't have me break this thing down for nothin'
Now I wanna see y'all on y'all baddest behavior
Lend me some suga', I am your neighbour
Ahh! Here we go""

Shake it, shake, shake it, shake it, shake, shake it
Shake it, shake, shake it, shake it, shake it, shake
Shake, shake it, like a polaroid picture, hey ya
Shake it, shake it, shake, shake it, shake it, shake
Shake it, shake it, shake it, shake it, suga
Shake it like a polaroid picture

Now while Beyonces and Lucy Lius
And baby dolls, get on the floor
Get on the floor, you know what to do
You know, what to do, you know I do

Hey ya, hey ya, hey ya, hey ya
Hey ya, hey ya, hey ya, hey ya"
7,Katy Perry,I Kissed A Girl,2008,"This was never the way I planned
Not my intention
I got so brave, drink in hand
Lost my discretion
It's not what I'm used to
Just wanna try you on
I'm curious for you
Caught my attention

I kissed a girl and I liked it
The taste of her cherry chap stick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong
It felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it

I liked it

No, I don't even know your name
It doesn't matter
You're my experimental game
Just human nature
It's not what, good girls do
Not how they should behave
My head gets so confused

Hard to obey
I kissed a girl and I liked it

The taste of her cherry chap stick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong
It felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it
Us girls we are so magical
Soft skin, red lips, so kissable
Hard to resist so touchable
Too good to deny it
Ain't no big deal, it's innocent
I kissed a girl and I liked it
The taste of her cherry chap stick
I kissed a girl just to try it
I hope my boyfriend don't mind it
It felt so wrong
It felt so right
Don't mean I'm in love tonight
I kissed a girl and I liked it
I liked it"
8,Shakira & Wyclef Jean,Hips don't lie,2006,"Ladies up in here tonight
No fighting
We got the refugees up in here
No fighting, no fighting
Shakira, Shakira

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You make a woman go mad
So be wise and keep on
Reading the signs of my body

I'm on tonight, you know my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby?
This is perfection

Hey, girl, I can see your body moving
And it's driving me crazy
And I didn't have the slightest idea
Until I saw you dancing

And when you walk up on the dance floor
Nobody cannot ignore the way you move your body, girl
And everything's so unexpected
The way you right and left it
So you can keep on shaking it

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You make a woman go mad
So be wise and keep on
Reading the signs of my body

I'm on tonight, you know my hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Don't you see, baby?
Así es perfecto

Baby, I know I'm on tonight, my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby?
This is perfection

Oh, boy, I can see your body moving
Half animal, half man
I don't, don't really know what I'm doing
But you seem to have a plan
My will and self-restraint
Have come to fail now, fail now
See, I'm doing what I can, but I can't, so you know
That's a bit too hard to explain

Baila en la calle de noche
Baila en la calle de día
Baila en la calle de noche
Baila en la calle de día

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You know you got me hypnotized
So be wise and keep on
Reading the signs of my body

Señorita, feel the conga
Let me see you move like you come from Colombia

Mira, en Barranquilla se baila así, say it!
En Barranquilla se baila así

Yeah, she's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country
I go back like when 'Pac carried crates for Humpty Hump
We need a whole club dizzy
Why the CIA wanna watch us?
Colombians and Haitians
I ain't guilty, it's a musical transaction
Boo-boop-so-boop, no more do we snatch ropes
Refugees run the seas 'cause we own our own boats

I'm on tonight, my hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto

Oh, you know I'm on tonight, my hips don't lie
And I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection

No fighting, no fighting"
9,50 Cent,In Da Club,2003,"Go, go, go, go, go, go
Go shawty, it's your birthday
We gon' party like it's your birthday
We gon' sip Bacardi like it's your birthday
And you know we don't give a ****, it's not your birthday

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

When I pull up out front, you see the Benz on dubs
When I roll 20 deep, it's always drama in da club
N***** I heard I roll with Dre, everybody show me love
When you sell like Eminem you get plenty of groupie love

But homie ain't nothing change hoes down, G's up
I see Xzibit in the Cutt that ****** roll that **** up
If you watch how I move you'll mistake me for a playa or pimp
Been hit wit a few ****** but I don't walk with a limp

In the hood then the ladies saying, ""50, you hot""
They like me, I want them to love me like they love 'Pac
But holla in New York they surely will tell ya I'm loco
And the plan is to put the rap game in a choke hold

I'm feelin' focused, man, my money on my mind
I got a mill out the deal and I'm still on the grind
Now shawty said she feeling my style, she feeling my flow
Her girlfriend willin' to get bi and they ready to go

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

My flow, my show brought me the dough
That bought me all my fancy things
My crib, my cars, my pools, my jewels
Look homey, I done came up and I ain't change

And you should love it, way more then you hate it
Oh you mad? I thought that you'd be happy I made it
I'm that cat by the bar, toasting to the good life
Moved out the hood, now trying to pull me back, right?

When my junk get to pumpin' in da club it's on
I wink my eye at ya chick, if she smiles she gone
If the roof on fire, man, just let it burn
If you're talking 'bout money, homie, I ain't concerned

I'm a tell you what Banks told me
'Cause go 'head, switch the style up
And if they hate then let 'em hate
Then watch the money pile up

Or we can go upside their head with a bottle of bub
Come on, they know where we be

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

You can find me in da club, bottle full of bub
Mama, I got what you need, if you need to feel a buzz
I'm into having sex, I ain't into making love
So come give me a hug if you into getting rubbed

Don't try to act like you don't know
Where we been neither
We in the club all the time
It's about to pop off
Shady Aftermath"
10,Kylie Minogue,Can't Get You Out of My Head,2001,"I just can't get you out of my head, boy
Your lovin is all I think about,
I just can't get you out of my head, boy,
It's more than I dare to think about.
I just can't get you out of my head, boy,
Your lovin is all I think about,
I just can't get you out of my head, boy,
It's more than I dare to think about.

Every night, every day,
Just to be there in your arms.
Won't you stay?
Won't you stay?
Stay forever and ever and ever and ever.

I just can't get you out of my head, boy,
Your lovin' is all I think about,
I just can't get you out of my head, boy,
It's more than I dare to think about.

There's a dark secret in me,
Don't leave me locked in your heart.
Set me free, feel the need in me, set me free,
Stay forever and ever and ever and ever.

I just can't get you outta my head
I just can't get you outta my head
I just can't get you outta my head"
