Position,Artist,Song Title,Year,Lyrics
11,Carl Douglas,Kung Fu Fighting,1974,"Carl Douglas
Miscellaneous
Kung Fu Fighting
Oh-oh-oh-oh...

Everybody was Kung Fu fighting, those jerks were fast as lightning
In fact it was a little bit fright'ning, but they fought with expert timing

There was funky China men from funky Chinatown
They were trapping when up, they were trapping when down
It's an ancient Chinese art, and everybody knew their part
For my friend, ain't you a stiff, then I'm kickin' from the hip

Everybody was Kung Fu fighting, those kids were fast as lightning
In fact it was a little bit fright'ning, but they fought with expert timing

There was funky Billie Jim and little Sammy John
He said, here comes the big boss, let's get it on
We took the bow and made a stand, started swaying with the hand
A sudden motion made me stiff, now we're into a brandnew trip

Everybody was Kung Fu fighting, those kids were fast as lightning
In fact it was a little bit fright'ning, but they did it with expert timing

Oh-oh-oh-oh...

Everybody was Kung Fu fighting, those kids were fast as lightning
In fact it was a little bit fright'ning, make sure you have expert timing

Kung Fu fighting, had to be fast as lightning..."
12,Tony Orlando & Dawn,Tie a Yellow Ribbon 'round the Old Oak Tree,1973,"I'm comin' home, I've done my time
Now I've got to know what is and isn't mine
If you received my letter tellin' you I'd soon be free
Then you'll know just what to do if you still want me
If you still want me

Tie a yellow ribbon 'round the old oak tree
It's been three long years
Do you still want me?
If I don't see a ribbon round the old oak tree
I'll stay on the bus
Forget about us
Put the blame on me
If I don't see a yellow ribbon round the old oak tree

Bus driver, please look for me
'Cause I couldn't bear to see what I might see
I'm really still in prison, and my love she holds the key
A simple yellow ribbon's what I need to set me free
I wrote and told her this:

REPEAT Now the whole damn bus is cheering
And I can't believe I see
A hundred yellow ribbons 'round the old oak tree
I'm comin' home"
13,Terry Jacks,Seasons in the Sun,1974,"Goodbye Emil, my trusted friend
We've known each other since we were nine or ten
Together we climbed hills and trees
Learned of love and A, B, C's
Skinned our hearts and skinned our knees

Goodbye Emil, it's hard to die
When all the bird's are singing in the sky
Now that the spring is in the air
Pretty girls are everywhere
I wish we could both be there

We had joy, we had fun
We had seasons in the sun
But the hills we could climb
Were just seasons out of time

Goodbye Papa, please pray for me
I was the black sheep of the family
You tried to show me right from wrong
But too much wine and too much song
Wonder how I got along

Goodbye Papa, it's hard to die
When all the bird's are singing in the sky
Now that the spring is in the air
Little kids are everywhere
Think of me and I'll be there

We had joy, we had fun
We had seasons in the sun
But the wine and the song
Like the seasons have all gone

Goodbye Francoise, my trusted wife
Without you I'd had a lonely life
You cheated lots of times with them
But I forgave you in the end
Though your lover was my friend

Goodbye Francoise, it's hard to die
When all the birds are singing in the sky
Now that the spring is in the air
With your lovers everywhere
Just be careful, I'll be there

We had joy, we had fun
We had seasons in the sun
But the stars we could reach
Were just starfish on the beach

Goodbye Michelle, my little one
You gave me joy and helped me find the sun
And every time when I was down
You would always come around
And get my feet back on the ground"
14,Blondie,Heart of Glass,1979,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing but I was so blind
Mucho mistrust, love's gone behind

In between 'what I find is pleasing' and 'I'm feeling fine'
Love is so confusing
There's no peace of mind if I fear I'm losing you
It's just no good, you teasing like you do

Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

Lost inside adorable illusion
And I cannot hide
I'm the one you're using
Please don't push me aside
We coulda made it cruising, yeah

Yeah, riding high on love's true bluish light
Ooo ooo ooo whoa
Ooo ooo ooo whoa
Ooo ooo ooo whoa
Ooo ooo ooo whoa

Once I had a love and it was a gas
Soon turned out to be a pain in the ass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

Ooo ooo ooo whoa
Ooo ooo ooo whoa
Ooo ooo ooo whoa
Ooo ooo ooo whoa"
15,Shocking Blue,Venus,1970,"A Goddess on a mountain top
Was burning like a silver flame
The summit of beauty and love
And Venus was her name

She's got it
Yeah, baby, she's got it
Well, I'm your Venus
I'm your fire, at your desire
Well, I'm your Venus
I'm your fire, at your desire

Her weapons were
Her crystal eyes
Making every man mad
Black as the dark night she was
Got what no-one else had
Wow!

She's got it
Yeah, baby, she's got it
Well, I'm your Venus,
I'm your fire, at your desire
Well, I'm your Venus,
I'm your fire, at your desire

Ah-ah-ah-ah-ah-ah-ah!
Ah-ah-ah-ah-ah-ah-ah!

She's got it
Yeah, baby, she's got it
Well, I'm your Venus,
I'm your fire, at your desire
Well, I'm your Venus,
I'm your fire, at your desire"
16,Eagles,Hotel California,1977,"On a dark desert highway, cool wind in my hair
Warm smell of colitas rising up through the air
Up ahead in the distance I saw a shimmering light
My head grew heavy and my sight grew dim
I had to stop for the night

There she stood in the doorway, I heard the mission bell
Then I was thinking to myself this could be Heaven or this could be Hell
Then she lit up a candle and she showed me the way
There were voices down the corridor I thought I heard them say

""Welcome to the Hotel California
Such a lovely place
(Such a lovely place)
Such a lovely face
Plenty of room at the Hotel California
Any time of year
(Any time of year)
You can find it here""

Her mind is Tiffany twisted, she got the Mercedes Benz
She got a lot of pretty, pretty boys that she calls friends
How they dance in the courtyard, sweet summer sweat
Some dance to remember, some dance to forget

So I called up the captain, ""Please bring me my wine""
He said, ""We haven't had that spirit here since 1969""
And still those voices are calling from far away
Wake you up in the middle of the night just to hear them say

""Welcome to the Hotel California
Such a lovely place
(Such a lovely place)
Such a lovely face
They're living it up at the Hotel California
What a nice surprise
(What a nice surprise)
Bring your alibis""

Mirrors on the ceiling, the pink champagne on ice
And she said, ""We are all just prisoners here of our own device""
And in the master's chambers they gathered for the feast
They stab it with their steely knives but they just can't kill the beast

Last thing I remember I was running for the door
I had to find the passage back to the place I was before
""Relax,"" said the night man, ""We are programmed to receive
You can check out any time you like but you can never leave"""
17,Bee Gees,Night Fever,1978,"Listen to the ground, there is movement all around
There is something going down and I can feel it
On the waves of the air, there is dancing out there
If it's something we can share, we can steal it

And the sweet city woman, she moves through the light
Controlling my mind and my soul
When you reach out for me, yeah and the feeling is bright

Then I get night fever, night fever, we know how to do it
(Oh)
Gimme that night fever, night fever, we know how to show it

Here I am, praying for this moment to last
Living on the music so fine
Borne on the wind, making it mine

Night fever, night fever, we know how to do it
(Oh)
Gimme that night fever, night fever, we know how to show it

In the heat of our love, don't need no help for us to make it
Gimme just enough to take us to the morning
 I got fire in my mind, I get higher in my walking
And I'm glowing in the dark, I give you warning

And the sweet city woman, she moves through the light
Controlling my mind and my soul
 When you reach out for me, yeah and the feeling is bright

Then I get night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(Ooh)

Here I am, praying for this moment to last
Living on the music so fine
Borne on the wind, making it mine

Night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(I'll leave you never baby, don't you know)

Gimme that night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(I'll leave you never baby, don't you know)
Gimme that night fever, night fever, we know how to do it"
18,Chic,Le Freak,1979,"Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!

Have you heard about the new dance craze?
Listen to us, I'm sure you'll be amazed
Big fun to be had by everyone
It's up to you, it surely can be done

Young and old are doing it, I'm told
Just one try and you too will be sold
It's called 'Le Freak', they're doing it night and day
Allow us, we'll show you the way

Ah, freak out!
Le freak, c'est chic
Freak out!

All that pressure got you down
Has your head been spinning all around?
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of Stomping at the Savoy
Now we ""freak,"" oh, what a joy
Just come on down to the 54
Find your spot out on the floor

Ah, freak out!
Le freak, c'est chic
Freak out!

Now freak
I said freak
Now freak

All that pressure got you down
Has your head been spinning all around?
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of Stomping at the Savoy
Now we ""freak,"" oh, what a joy
Just come on down to the 54
Find your spot out on the floor

Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!"
19,Chicago,If You Leave Me Now,1976,"If you leave me now you'll take away the biggest part of me
No baby please don't go
And if you leave me now you'll take away the very heart of me
No baby please don't go, no I just want you to stay

A love like ours is love that's hard to find
How could we let it slip away?
We've come too far to leave it all behind
How could we end it all this way?
When tomorrow comes and we both regret
The things we said today

A love like ours is love that's hard to find
How could we let it slip away?
We've come too far to leave it all behind
How could we end it all this way?
When tomorrow comes and we both regret
The things we said today

And if you leave me now you'll take away the biggest part of me
No baby please don't go, no baby please don't go
Oh girl, I just got to have your lovin, yeah
No baby please don't go, don't go, don't go"
20,Elton John & Kiki Dee,Don't Go Breaking My Heart,1976,"Don't go breaking my heart
I couldn't if I tried
Honey if I get restless
Baby you're not that kind

Don't go breaking my heart
You take the weight off me
Honey when you knock on my door

Ooh I gave you my key

Woo hoo
Nobody knows it
When I was down
I was your clown
Woo hoo
Nobody knows it
(nobody knows... it)
Right from the start

I gave you my heart
Oh-oh I give you my heart

So don't go breaking my heart
I won't go breaking your heart
Don't go breaking my heart

Nobody told us
'Cause nobody showed us
Now it's up to us babe
Whoa I think we can make it

So don't misunderstand me
You put the light in my life
Oh, you put the spark to the flame
I got your heart in my sight
Woo hoo
Nobody knows it
When I was down
I was your clown
Woo hoo

Nobody knows it
(nobody knows... it)
Right from the start
I gave you my heart
Oh-oh

I give you my heart
Don't go breaking my heart
I won't go breaking your heart
Don't go breaking my heart
Woo hoo
Nobody knows it
(woo hoo) When I was down
(woo hoo) I was your clown
(woo hoo) Right from the start
(woo hoo) I gave you my heart
Oh-oh I give you my heart
Don't go breaking my heart
I won't go breaking your heart
(don't go breaking my)
(don't go breaking my)
Don't go breaking my heart
(don't go breaking my)
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)
I won't (aaah) go breaking your heart
Don't go breaking my heart
(don't go breaking my)"
21,Boney M,Rivers of Babylon,1978,"By the rivers of Babylon
There we sat down
Ye-eah, we wept
When we remembered Zion

By the rivers of Babylon
There we sat down
Ye-eah, we wept
When we remembered Zion

When the wicked carried us away in captivity
Required from us a song
Now, how shall we sing the Lord's song
In a strange land

When the wicked carried us away in captivity
Requiring of us a song
Now how shall we sing the Lord's song
In a strange land

Let the words of our mouth
And the meditation of our heart
Be acceptable in thy sight
Here tonight

Let the words of our mouth
And the meditation of our hearts
Be acceptable in thy sight
Here tonight

By the rivers of Babylon
There we sat down
Ye-eah, we wept
When we remembered Zion

By the rivers of Babylon
There we sat down
Ye-eah, we wept
When we remembered Zion

By the rivers of Babylon
  (Dark tears of Babylon)
There we sat down
  (You got to sing a song)
Ye-eah we wept
  (Sing a song of love)
When we remembered Zion
  (Yeah yeah yeah)

By the rivers of Babylon
  (Rough bits of Babylon)
There we sat down
  (You hear the people cry)
Ye-eah, we wept
  (They need that all)
When we remembered Zion
  (Ooh, have the power)"
22,Simon & Garfunkel,Bridge Over Troubled Water,1970,"When you're weary, feeling small
When tears are in your eyes
I will dry them all

I'm on your side
Oh when times get rough
And friends just can't be found

Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

When you're down and out
When you're on the street
When evening falls so hard, I will comfort you

I'll take your part
Oh, when darkness comes
And pain is all around

Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

Sail on silver girl, sail on by
Your time has come to shine
All your dreams are on their way
See how they shine

Oh, if you need a friend
I'm sailing right behind

Like a bridge over troubled water
I will ease your mind
Like a bridge over troubled water
I will ease your mind"
23,Gloria Gaynor,I Will Survive,1979,"At first I was afraid, I was petrified
Kept thinking I could never live
Without you by my side
But then I spent so many nights
Thinking how you did me wrong
And I grew strong
And I learned how to get along

And so you're back from outer space
I just walked in to find you here
With that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I had known for just one second
You'd be back to bother me

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive, I will survive, hey hey

It took all the strength I had not to fall apart
Kept trying hard to mend
The pieces of my broken heart
And I spent oh so many nights
Just feeling sorry for myself
I used to cry
But now I hold my head up high

And you see me, somebody new
I'm not that chained up little person
Still in love with you
And so you felt like dropping in
And just expect me to be free
But now I'm saving all my loving
For someone who's loving me

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to break me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive, I will survive, oh

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to break me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive, I will survive
I will survive

At first I was afraid, I was petrified
Kept thinking I could never live
Without you by my side
But then I spent so many nights
Thinking how you did me wrong
And I grew strong
And I learned how to get along

And so you're back from outer space
I just walked in to find you here
With that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I had known for just one second
You'd be back to bother me

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive, I will survive
I will survive

It took all the strength I had not to fall apart
Kept trying hard to mend
The pieces of my broken heart
And I spent oh so many nights
Just feeling sorry for myself
I used to cry
But now I hold my head up high

And you see me, somebody new
I'm not that chained up little person
Still in love with you
And so you felt like dropping in
And just expect me to be free
Now I'm saving all my loving
For someone who's loving me

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got all my love to give
And I'll survive, I will survive
I will survive

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to hurt me with goodbye?
Did you think I'd crumble?
Did you think I'd lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got so much love to give
And I'll survive, I will survive
I will survive

Go on now go, walk out the door
Just turn around now
'Cause you're not welcome anymore
Weren't you the one who tried to break me with goodbye?
Did I  crumble?
Yes, did I lay down and die?

Oh no, not I, I will survive
Oh, as long as I know how to love
I know I'll stay alive
I've got all my life to live
And I've got so much love to give
And I'll survive, yes I'll survive
Yeah, I'll survive"
