words	tf-idf
bottoms	12.9197888612
bedrock	10.6306113154
alejandro	10.6306113154
glue	9.72426027983
mina	9.54569868084
tsamina	9.54569868084
fairytale	9.35692815535
replay	9.15671018307
amo	9.15671018307
meenie	9.15671018307
eenie	9.15671018307
miney	9.15671018307
waka	8.94356622524
lova	8.47096351224
zangalewa	7.60448320347
rude	7.54224564608
naturally	7.49614653133
exception	7.39309431399
billionaire	7.25652113507
yeahhhhh	7.25652113507
mash	7.25652113507
lower	7.25652113507
ipod	7.25652113507
mo	7.06648886353
eh	7.02044922813
americano	6.8675326373
telephonin	6.8675326373
dynamite	6.8675326373
raining	6.69307609683
g6	6.69307609683
te	6.60251245995
gosh	6.48420962082
bubb	6.42653385058
anawa	6.42653385058
les	6.42653385058
callin	6.37030074879
dollar	6.36826537141
impossible	5.9233360052
400	5.9174381133
ailes	5.9174381133
snappin	5.9174381133
giddy	5.9174381133
na	5.74300318781
love	5.73657229748
barbra	5.73352111423
freaks	5.73352111423
streisand	5.73352111423
airplanes	5.73352111423
watchin	5.65307862832
baby	5.5568280617
december	5.47666667742
secrets	5.47666667742
bottles	5.42926047264
california	5.42926047264
yeah	5.39362754635
therapy	5.3153056577
gritty	5.3153056577
riot	5.3153056577
hoold	5.3153056577
lettin	5.3153056577
fa	5.3153056577
brands	5.3153056577
django	5.3153056577
sooloooo	5.3153056577
underdogs	5.3153056577
rim	5.3153056577
freefall	5.3153056577
insincere	5.3153056577
nitty	5.3153056577
2012	5.3153056577
roberto	5.3153056577
flintstone	5.3153056577
drug	5.31308607173
flag	5.28489596887
ayo	5.07773171714
ooooooh	5.07773171714
firework	5.07773171714
fernando	5.07773171714
realized	5.07483492461
awe	5.07483492461
cooler	5.05720110163
wan	5.00394630595
make	4.96284463026
back	4.89783979995
disco	4.86316007593
solo	4.8562369509
stuck	4.823451632
hey	4.81218435537
dj	4.79704718541
boom	4.79704718541
gon	4.7957905456
busy	4.76180358256
magic	4.76025490051
time	4.73619844839
rock	4.71179802697
symphony	4.67548508897
wore	4.67548508897
traveled	4.67548508897
36	4.67548508897
ca	4.63472898823
melody	4.59506448727
pa	4.59506448727
telephone	4.58512756281
careless	4.58303260605
shades	4.58303260605
dukes	4.57835509154
unforgettable	4.57835509154
popsicle	4.57835509154
bone	4.57835509154
awry	4.57835509154
oprah	4.57835509154
soda	4.57835509154
plumerai	4.57835509154
tickin	4.57835509154
awhile	4.57835509154
slizzard	4.57835509154
spunk	4.57835509154
willis	4.57835509154
island	4.57835509154
kollo	4.57835509154
represent	4.57835509154
swallowing	4.57835509154
solid	4.57835509154
irresistible	4.57835509154
sizzurp	4.57835509154
whisky	4.57835509154
blizzard	4.57835509154
undeniable	4.57835509154
slows	4.57835509154
wantin	4.57835509154
fierce	4.57835509154
club	4.57170649055
body	4.54399765431
heart	4.52178857705
riding	4.47137929542
shawty	4.46831247697
shorty	4.46831247697
feel	4.43081679884
africa	4.41242247306
girl	4.40671924726
hold	4.38202663467
sippin	4.34283677287
tonight	4.31748811354
rainin	4.28873304818
treats	4.28873304818
shooting	4.28873304818
shit	4.2804913178
night	4.24849524205
owe	4.2105210934
screaming	4.20731268804
bikinis	4.19972830641
wallet	4.19972830641
designer	4.19972830641
prepare	4.19972830641
karamu	4.19972830641
biggie	4.19972830641
fulfill	4.19972830641
jay	4.19972830641
turn	4.18965474203
life	4.1743872699
hands	4.14313472639
cut	4.13042730752
give	4.12713438505
world	4.12713438505
ai	4.09434456222
fuck	4.09139163427
head	4.07753744391
singin	4.05998962042
break	4.04305126783
put	4.04305126783
ta	4.00733318523
dying	3.99464658699
wo	3.98898404656
dance	3.98898404656
order	3.98715543617
hit	3.98511977004
weather	3.9848145538
sway	3.94898914207
stopping	3.94898914207
teenage	3.94898914207
rebel	3.94898914207
toe	3.94898914207
call	3.91202300543
hand	3.91202300543
answer	3.8986154582
west	3.8986154582
